# ::id 25829028
# ::tok » Was ist 's für ein Schiff , Ned ? «
# ::alignments 1-1.1.3.8.1 2-1.1.3.1 3-1.1.3.2 4-1.1.3.8.1 5-1.1.3.8.1 6-1.1.3.8.2 8-1.1.3.3
# ::format ucca
(v1 / label
    :H (v2 / label
           :A (v3 / label)
           :P (v4 / label)
           :A (v5 / label
                  :S (v6 / label~e.2)
                  :A (v7 / label~e.3)
                  :G (v8 / label~e.8)
                  :A (v9 / label
                         :E (v10 / label~e.1,4,5)
                         :C (v11 / label~e.6)))))
