# ::id 25823008
# ::tok Ich hörte , wie die Behälter sich allmählich füllten , und die Nautilus tauchte gemächlich unter die Oberfläche der Wellen .
# ::alignments 0-1.1.1 1-1.1.2 3-1.1.3.1 4-1.1.3.2.1 5-1.1.3.2.2 6-1.1.3.3 7-1.1.3.4 8-1.1.3.3 10-1.2 11-1.3.1.1 12-1.3.1.2 13-1.3.2 14-1.3.3 15-1.3.4.1 16-1.3.4.2 17-1.3.4.3 18-1.3.4.4.1 19-1.3.4.4.2
(v1 / label
    :H (v2 / label
           :A (v5 / label~e.0)
           :P (v6 / label~e.1)
           :A (v7 / label
                  :R (v12 / label~e.3)
                  :A (v13 / label
                          :E (v22 / label~e.4)
                          :C (v23 / label~e.5))
                  :P (v14 / label~e.6,8)
                  :D (v15 / label~e.7)))
    :L (v3 / label~e.10)
    :H (v4 / label
           :A (v8 / label
                  :E (v16 / label~e.11)
                  :C (v17 / label~e.12))
           :P (v9 / label~e.13)
           :D (v10 / label~e.14)
           :A (v11 / label
                   :R (v18 / label~e.15)
                   :E (v19 / label~e.16)
                   :C (v20 / label~e.17)
                   :E (v21 / label
                           :R (v24 / label~e.18)
                           :C (v25 / label~e.19)))))
