# ::id 25832002
# ::tok Aber kaum hatte er 's entfaltet , als er trotz seiner furchtbaren Stärke von einer eisernen Hand zu Boden geworfen wurde .
# ::alignments 0-1.1 1-1.2.1 3-1.2.3 4-1.2.4 5-1.2.5 7-1.3 8-1.4.1 9-1.4.2.1 10-1.4.2.2.1 11-1.4.2.3 12-1.4.2.2.2 13-1.4.3.1 14-1.4.3.2 15-1.4.3.3 16-1.4.3.4 17-1.4.4.1 18-1.4.4.2 19-1.4.5
(v1 / label
    :L (v2 / label~e.0)
    :H (v3 / label
           :D (v6 / label~e.1)
           :A (v7 / label~e.3)
           :A (v8 / label~e.4)
           :P (v9 / label~e.5))
    :L (v4 / label~e.7)
    :H (v5 / label
           :A (v10 / label~e.8)
           :A (v11 / label
                   :R (v15 / label~e.9)
                   :A (v16 / label
                           :E (v24 / label~e.10)
                           :C (v25 / label~e.12))
                   :S (v17 / label~e.11))
           :A (v12 / label
                   :R (v18 / label~e.13)
                   :E (v19 / label~e.14)
                   :E (v20 / label~e.15)
                   :C (v21 / label~e.16))
           :A (v13 / label
                   :R (v22 / label~e.17)
                   :C (v23 / label~e.18))
           :P (v14 / label~e.19)))
