# ::id 25603009
# ::tok Fast täglich öffneten sich einige Stunden lang die Läden des Salons , und unsere Augen konnten sich nicht satt sehen an den Geheimnissen der unterseeischen Welt .
# ::alignments 0-1.1.1 1-1.1.2 2-1.1.3 3-1.1.3 4-1.1.4.1 5-1.1.4.2 6-1.1.4.3 7-1.1.5.2 8-1.1.5.3 9-1.1.5.1.1 10-1.1.5.1.2 12-1.2 13-1.3.1.1 14-1.3.1.2 15-1.3.2 16-1.3.3 17-1.3.4 18-1.3.3 19-1.3.3 20-1.3.5.1 21-1.3.5.3 22-1.3.5.4 23-1.3.5.2.1 24-1.3.5.2.2 25-1.3.5.2.3
(v1 / label
    :H (v2 / label
           :D (v5 / label~e.0)
           :T (v6 / label~e.1)
           :P (v7 / label~e.2,3)
           :T (v8 / label
                  :E (v15 / label~e.4)
                  :C (v16 / label~e.5)
                  :E (v17 / label~e.6))
           :A (v9 / label
                  :E (v18 / label
                          :R (v27 / label~e.9)
                          :C (v28 / label~e.10))
                  :E (v19 / label~e.7)
                  :C (v20 / label~e.8)))
    :L (v3 / label~e.12)
    :H (v4 / label
           :A (v10 / label
                   :E (v21 / label~e.13)
                   :C (v22 / label~e.14))
           :D (v11 / label~e.15)
           :P (v12 / label~e.16,18,19)
           :D (v13 / label~e.17)
           :A (v14 / label
                   :R (v23 / label~e.20)
                   :E (v24 / label
                           :R (v29 / label~e.23)
                           :E (v30 / label~e.24)
                           :C (v31 / label~e.25))
                   :E (v25 / label~e.21)
                   :C (v26 / label~e.22))))
