# ::id 25771023
# ::tok Das Dasein dieses Landes schien für die Hypothesen Maurys einen Beleg zu geben .
# ::alignments 0-1.1.1.1.1 1-1.1.4.1 2-1.1.1.2.1 3-1.1.1.2.2 4-1.1.2 5-1.1.3.2 6-1.1.3.3 7-1.1.3.4 8-1.1.3.1 9-1.1.4.2.1 10-1.1.4.2.2
# ::format ucca
(v1 / label
    :H (v2 / label
           :A (v3 / label
                  :S (v7 / label
                         :E (v15 / label~e.0)
                         :C (v13 / label~e.1))
                  :A (v8 / label
                         :R (v16 / label~e.2)
                         :C (v17 / label~e.3)))
           :S (v4 / label~e.4)
           :A (v5 / label
                  :E (v9 / label~e.8)
                  :R (v10 / label~e.5)
                  :E (v11 / label~e.6)
                  :C (v12 / label~e.7))
           :A (v6 / label
                  :A v13
                  :S (v14 / label
                          :E (v18 / label~e.9)
                          :C (v19 / label~e.10)))))
